multi-client load → ws://192.168.1.212/traffic  N=8 dur=1800s  CSV=tools/multi-client-2026-05-01T20-12-05.csv
[60s] #0:O/416/0s #1:O/416/0s #2:O/416/0s #3:O/416/0s #4:O/416/0s #5:O/416/0s #6:O/416/0s #7:O/416/0s
[120s] #0:O/1119/0s #1:O/1119/0s #2:O/1119/0s #3:O/1119/0s #4:O/1119/0s #5:O/1119/0s #6:O/1119/0s #7:O/1119/0s
[180s] #0:O/1840/0s #1:O/1840/0s #2:O/1840/0s #3:O/1840/0s #4:O/1840/0s #5:O/1840/0s #6:O/1840/0s #7:O/1840/0s
[240s] #0:O/2757/0s #1:O/2757/0s #2:O/2757/0s #3:O/2757/0s #4:O/2757/0s #5:O/2757/0s #6:O/2757/0s #7:O/2757/0s
[300s] #0:O/3543/0s #1:O/3543/0s #2:O/3543/0s #3:O/3543/0s #4:O/3543/0s #5:O/3543/0s #6:O/3543/0s #7:O/3543/0s
[360s] #0:O/4722/0s #1:O/4722/0s #2:O/4722/0s #3:O/4722/0s #4:O/4722/0s #5:O/4722/0s #6:O/4722/0s #7:O/4722/0s
[420s] #0:O/5604/0s #1:O/5604/0s #2:O/5604/0s #3:O/5604/0s #4:O/5604/0s #5:O/5604/0s #6:O/5604/0s #7:O/5604/0s
[480s] #0:O/6251/0s #1:O/6251/0s #2:O/6251/0s #3:O/6251/0s #4:O/6251/0s #5:O/6251/0s #6:O/6251/0s #7:O/6251/0s
[540s] #0:O/6987/0s #1:O/6987/0s #2:O/6987/0s #3:O/6987/0s #4:O/6987/0s #5:O/6987/0s #6:O/6987/0s #7:O/6987/0s
[600s] #0:O/7952/0s #1:O/7952/0s #2:O/7952/0s #3:O/7952/0s #4:O/7952/0s #5:O/7952/0s #6:O/7952/0s #7:O/7952/0s
[660s] #0:O/8889/0s #1:O/8889/0s #2:O/8889/0s #3:O/8889/0s #4:O/8889/0s #5:O/8889/0s #6:O/8889/0s #7:O/8889/0s
[720s] #0:O/9686/0s #1:O/9686/0s #2:O/9686/0s #3:O/9686/0s #4:O/9686/0s #5:O/9686/0s #6:O/9686/0s #7:O/9686/0s
[780s] #0:O/10984/0s #1:O/10984/0s #2:O/10984/0s #3:O/10984/0s #4:O/10984/0s #5:O/10984/0s #6:O/10984/0s #7:O/10984/0s
[840s] #0:O/12950/0s #1:O/12950/0s #2:O/12950/0s #3:O/12950/0s #4:O/12950/0s #5:O/12950/0s #6:O/12950/0s #7:O/12950/0s
[900s] #0:O/15383/0s #1:O/15383/0s #2:O/15383/0s #3:O/15383/0s #4:O/15383/0s #5:O/15383/0s #6:O/15383/0s #7:O/15383/0s
[960s] #0:O/17807/0s #1:O/17807/0s #2:O/17807/0s #3:O/17807/0s #4:O/17807/0s #5:O/17807/0s #6:O/17807/0s #7:O/17807/0s
[1020s] #0:O/19670/0s #1:O/19670/0s #2:O/19670/0s #3:O/19670/0s #4:O/19670/0s #5:O/19670/0s #6:O/19670/0s #7:O/19670/0s
[1080s] #0:O/20958/0s #1:O/20958/0s #2:O/20958/0s #3:O/20958/0s #4:O/20958/0s #5:O/20958/0s #6:O/20958/0s #7:O/20958/0s
[1140s] #0:O/21664/0s #1:O/21664/0s #2:O/21664/0s #3:O/21664/0s #4:O/21664/0s #5:O/21664/0s #6:O/21664/0s #7:O/21664/0s
[1200s] #0:O/22593/0s #1:O/22593/0s #2:O/22593/0s #3:O/22593/0s #4:O/22593/0s #5:O/22593/0s #6:O/22593/0s #7:O/22593/0s
[1260s] #0:O/24328/0s #1:O/24328/0s #2:O/24328/0s #3:O/24328/0s #4:O/24328/0s #5:O/24328/0s #6:O/24328/0s #7:O/24328/0s
[1320s] #0:O/25262/0s #1:O/25262/0s #2:O/25262/0s #3:O/25262/0s #4:O/25262/0s #5:O/25262/0s #6:O/25262/0s #7:O/25262/0s
[1380s] #0:O/25703/0s #1:O/25703/0s #2:O/25703/0s #3:O/25703/0s #4:O/25703/0s #5:O/25703/0s #6:O/25703/0s #7:O/25703/0s
[1440s] #0:O/26376/0s #1:O/26376/0s #2:O/26376/0s #3:O/26376/0s #4:O/26376/0s #5:O/26376/0s #6:O/26376/0s #7:O/26376/0s
[1500s] #0:O/27376/0s #1:O/27376/0s #2:O/27376/0s #3:O/27376/0s #4:O/27376/0s #5:O/27376/0s #6:O/27376/0s #7:O/27376/0s
[1560s] #0:O/28028/0s #1:O/28028/0s #2:O/28028/0s #3:O/28028/0s #4:O/28028/0s #5:O/28028/0s #6:O/28028/0s #7:O/28028/0s
[1620s] #0:O/28615/0s #1:O/28615/0s #2:O/28615/0s #3:O/28615/0s #4:O/28615/0s #5:O/28615/0s #6:O/28615/0s #7:O/28615/0s
[1680s] #0:O/29051/0s #1:O/29051/0s #2:O/29051/0s #3:O/29051/0s #4:O/29051/0s #5:O/29051/0s #6:O/29051/0s #7:O/29051/0s
[1740s] #0:O/29277/0s #1:O/29277/0s #2:O/29277/0s #3:O/29277/0s #4:O/29277/0s #5:O/29277/0s #6:O/29277/0s #7:O/29277/0s
shutdown
[1800s] #0:C/29722/0s #1:C/29722/0s #2:C/29722/0s #3:C/29722/0s #4:C/29722/0s #5:C/29722/0s #6:C/29722/0s #7:C/29722/0s
