iso,age_s,tMsgs,sMsgs,tSilent_s,sSilent_s,tWs,sWs,traffic_size,situation_alt,situation_fix
2026-05-01T20:03:58Z,34,369,335,0.0,0.1,1,1,6,536,2
2026-05-01T20:04:58Z,94,443,397,54.1,54.1,1,1,6,535,2
2026-05-01T20:05:58Z,154,443,397,114.2,114.2,1,1,6,535,2
2026-05-01T20:06:58Z,214,443,397,174.5,174.5,1,1,6,535,2
2026-05-01T20:07:59Z,274,443,397,234.7,234.7,1,1,6,535,2
2026-05-01T20:08:59Z,334,443,397,294.8,294.8,1,1,6,535,2
2026-05-01T20:09:59Z,395,443,397,354.9,354.9,1,1,6,535,2
2026-05-01T20:10:59Z,455,443,397,415.1,415.1,1,1,6,535,2
2026-05-01T20:11:59Z,515,443,397,475.3,475.3,1,1,6,535,2
2026-05-01T20:12:59Z,575,443,397,535.4,535.4,1,1,6,535,2
2026-05-01T20:14:00Z,635,443,397,595.6,595.6,1,1,6,535,2
2026-05-01T20:15:00Z,695,443,397,655.9,655.9,1,1,6,535,2
2026-05-01T20:16:00Z,756,443,397,716.0,716.0,1,1,6,535,2
2026-05-01T20:17:00Z,816,443,397,776.1,776.1,1,1,6,535,2
2026-05-01T20:18:00Z,876,443,397,836.3,836.3,1,1,6,535,2
