iso,elapsed_s,traffic_state,sit_state,traffic_msgs_total,sit_msgs_total,traffic_silent_s,sit_silent_s,es_last_min,es_targets,uat_last_min,connected_users,event
2026-05-01T19:59:10.029Z,0.0,OPEN,CONNECTING,0,0,0.0,,,,,,traffic_open
2026-05-01T19:59:10.030Z,0.0,OPEN,OPEN,8,0,0.0,0.0,,,,,sit_open
2026-05-01T19:59:10.033Z,0.0,OPEN,OPEN,9,1,0.0,0.0,1490,14,0,9,poll
2026-05-01T19:59:20.023Z,10.0,OPEN,OPEN,299,100,0.0,0.1,1422,14,0,9,poll
2026-05-01T19:59:30.028Z,20.0,OPEN,OPEN,541,200,0.1,0.1,1330,14,0,9,poll
2026-05-01T19:59:40.014Z,30.0,OPEN,OPEN,787,300,0.1,0.1,,,,,heartbeat
2026-05-01T19:59:40.026Z,30.0,OPEN,OPEN,787,300,0.1,0.1,1194,11,0,9,poll
2026-05-01T19:59:50.026Z,40.0,OPEN,OPEN,1073,400,0.1,0.1,1134,10,0,9,poll
2026-05-01T20:00:00.029Z,50.0,OPEN,OPEN,1322,501,0.0,0.0,1072,8,0,9,poll
2026-05-01T20:00:10.014Z,60.0,OPEN,OPEN,1541,600,0.0,0.1,,,,,heartbeat
2026-05-01T20:00:10.030Z,60.0,OPEN,OPEN,1541,601,0.1,0.0,1020,8,0,9,poll
2026-05-01T20:00:20.028Z,70.0,OPEN,OPEN,1753,701,0.1,0.0,990,8,0,9,poll
2026-05-01T20:00:30.029Z,80.0,OPEN,OPEN,1979,801,0.0,0.0,1036,8,0,9,poll
2026-05-01T20:00:40.014Z,90.0,OPEN,OPEN,2176,900,0.0,0.1,,,,,heartbeat
2026-05-01T20:00:40.024Z,90.0,OPEN,OPEN,2176,900,0.0,0.1,1002,10,0,9,poll
2026-05-01T20:00:50.032Z,100.0,OPEN,OPEN,2371,1000,0.0,0.1,906,10,0,9,poll
2026-05-01T20:01:00.031Z,110.0,OPEN,OPEN,2534,1101,0.4,0.0,815,10,0,9,poll
2026-05-01T20:01:10.014Z,120.0,OPEN,OPEN,2657,1200,0.5,0.1,,,,,heartbeat
2026-05-01T20:01:10.030Z,120.0,OPEN,OPEN,2657,1201,0.5,0.0,666,8,0,9,poll
2026-05-01T20:01:20.031Z,130.0,OPEN,OPEN,2760,1301,0.1,0.0,542,8,0,9,poll
