Watching ws://192.168.1.212/{traffic,situation} for 3600s. CSV → /home/dananickerson/flytab/tools/stratux-watch-2026-05-01T19-59-09.csv
[60s] traffic=OPEN silent=0s msgs=1541  sit=OPEN silent=0s msgs=600
[120s] traffic=OPEN silent=0s msgs=2657  sit=OPEN silent=0s msgs=1200
[180s] traffic=OPEN silent=0s msgs=3520  sit=OPEN silent=0s msgs=1800
[240s] traffic=OPEN silent=0s msgs=4060  sit=OPEN silent=0s msgs=2400
[300s] traffic=OPEN silent=0s msgs=4701  sit=OPEN silent=0s msgs=3000
[360s] traffic=OPEN silent=0s msgs=5731  sit=OPEN silent=0s msgs=3600
[420s] traffic=OPEN silent=0s msgs=6931  sit=OPEN silent=0s msgs=4200
[480s] traffic=OPEN silent=0s msgs=8033  sit=OPEN silent=0s msgs=4800
[540s] traffic=OPEN silent=0s msgs=9066  sit=OPEN silent=0s msgs=5400
[600s] traffic=OPEN silent=0s msgs=10399  sit=OPEN silent=0s msgs=6000
[660s] traffic=OPEN silent=0s msgs=11377  sit=OPEN silent=0s msgs=6600
[720s] traffic=OPEN silent=0s msgs=12192  sit=OPEN silent=0s msgs=7200
[780s] traffic=OPEN silent=0s msgs=12808  sit=OPEN silent=0s msgs=7800
[840s] traffic=OPEN silent=1s msgs=13180  sit=OPEN silent=0s msgs=8400
[900s] traffic=OPEN silent=0s msgs=13926  sit=OPEN silent=0s msgs=9000
[960s] traffic=OPEN silent=0s msgs=14605  sit=OPEN silent=0s msgs=9600
[1020s] traffic=OPEN silent=0s msgs=15575  sit=OPEN silent=0s msgs=10200
[1080s] traffic=OPEN silent=0s msgs=16353  sit=OPEN silent=0s msgs=10800
[1140s] traffic=OPEN silent=0s msgs=17551  sit=OPEN silent=0s msgs=11400
[1200s] traffic=OPEN silent=0s msgs=18433  sit=OPEN silent=0s msgs=12001
[1260s] traffic=OPEN silent=0s msgs=19053  sit=OPEN silent=0s msgs=12600
[1320s] traffic=OPEN silent=0s msgs=19804  sit=OPEN silent=0s msgs=13201
[1380s] traffic=OPEN silent=0s msgs=20772  sit=OPEN silent=0s msgs=13801
[1440s] traffic=OPEN silent=0s msgs=21690  sit=OPEN silent=0s msgs=14401
[1500s] traffic=OPEN silent=0s msgs=22510  sit=OPEN silent=0s msgs=15001
[1560s] traffic=OPEN silent=0s msgs=23824  sit=OPEN silent=0s msgs=15600
[1620s] traffic=OPEN silent=0s msgs=25883  sit=OPEN silent=0s msgs=16200
[1680s] traffic=OPEN silent=0s msgs=28337  sit=OPEN silent=0s msgs=16801
[1740s] traffic=OPEN silent=0s msgs=30763  sit=OPEN silent=0s msgs=17401
[1800s] traffic=OPEN silent=0s msgs=32539  sit=OPEN silent=0s msgs=18001
[1860s] traffic=OPEN silent=0s msgs=33776  sit=OPEN silent=0s msgs=18601
[1920s] traffic=OPEN silent=1s msgs=34457  sit=OPEN silent=0s msgs=19201
[1980s] traffic=OPEN silent=0s msgs=35428  sit=OPEN silent=0s msgs=19801
[2040s] traffic=OPEN silent=0s msgs=37195  sit=OPEN silent=0s msgs=20401
[2100s] traffic=OPEN silent=0s msgs=38048  sit=OPEN silent=0s msgs=21001
[2160s] traffic=OPEN silent=0s msgs=38485  sit=OPEN silent=0s msgs=21601
[2220s] traffic=OPEN silent=0s msgs=39200  sit=OPEN silent=0s msgs=22201
[2280s] traffic=OPEN silent=1s msgs=40174  sit=OPEN silent=0s msgs=22801
[2340s] traffic=OPEN silent=0s msgs=40812  sit=OPEN silent=0s msgs=23401
[2400s] traffic=OPEN silent=1s msgs=41417  sit=OPEN silent=0s msgs=24001
[2460s] traffic=OPEN silent=0s msgs=41824  sit=OPEN silent=0s msgs=24601
[2520s] traffic=OPEN silent=0s msgs=42046  sit=OPEN silent=0s msgs=25201
[2580s] traffic=OPEN silent=0s msgs=42507  sit=OPEN silent=0s msgs=25801
[2640s] traffic=OPEN silent=0s msgs=43000  sit=OPEN silent=0s msgs=26401
[2700s] traffic=OPEN silent=0s msgs=43589  sit=OPEN silent=0s msgs=27001
[2760s] traffic=OPEN silent=0s msgs=44534  sit=OPEN silent=0s msgs=27601
[2820s] traffic=OPEN silent=1s msgs=45435  sit=OPEN silent=0s msgs=28201
[2880s] traffic=OPEN silent=1s msgs=46088  sit=OPEN silent=0s msgs=28801
[2940s] traffic=OPEN silent=0s msgs=46857  sit=OPEN silent=0s msgs=29401
[3000s] traffic=OPEN silent=1s msgs=47148  sit=OPEN silent=0s msgs=30001
[3060s] traffic=OPEN silent=0s msgs=47435  sit=OPEN silent=0s msgs=30601
[3120s] traffic=OPEN silent=1s msgs=47691  sit=OPEN silent=0s msgs=31201
[3180s] traffic=OPEN silent=1s msgs=47912  sit=OPEN silent=0s msgs=31801
[3240s] traffic=OPEN silent=1s msgs=48801  sit=OPEN silent=0s msgs=32401
[3300s] traffic=OPEN silent=0s msgs=50016  sit=OPEN silent=0s msgs=33001
[3360s] traffic=OPEN silent=0s msgs=50997  sit=OPEN silent=0s msgs=33601
[3420s] traffic=OPEN silent=0s msgs=51595  sit=OPEN silent=0s msgs=34201
[3480s] traffic=OPEN silent=0s msgs=52358  sit=OPEN silent=0s msgs=34801
[3540s] traffic=OPEN silent=0s msgs=53649  sit=OPEN silent=0s msgs=35401

Done. Output: /home/dananickerson/flytab/tools/stratux-watch-2026-05-01T19-59-09.csv
